Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF11 7LE,12,9.02,88,66.17,0,0.00,30,22.56
CF11 7JZ,12,9.02,88,66.17,0,0.00,30,22.56
CF11 7QA,12,8.57,56,40.00,0,0.00,72,51.43
CF11 7PE,12,8.57,56,40.00,0,0.00,72,51.43
CF11 7GX,12,8.33,56,38.89,0,0.00,72,50.00
CF11 7FA,12,8.33,56,38.89,0,0.00,72,50.00
CF11 7BF,12,8.33,56,38.89,0,0.00,72,50.00
CF11 7AB,10,8.13,72,58.54,0,0.00,41,33.33
CF11 7DH,8,6.90,82,70.69,0,0.00,21,18.10
CF11 7BZ,8,6.90,82,70.69,0,0.00,21,18.10
CF11 7BY,8,6.90,82,70.69,0,0.00,21,18.10
CF11 7BX,8,6.90,82,70.69,0,0.00,21,18.10
CF11 7BU,8,6.90,82,70.69,0,0.00,21,18.10
CF11 7BA,8,6.50,72,58.54,0,0.00,41,33.33
CF11 7AN,8,6.50,72,58.54,0,0.00,41,33.33
CF11 7AA,8,6.50,72,58.54,0,0.00,41,33.33
CF11 7LZ,9,6.29,70,48.95,0,0.00,61,42.66
CF11 7LX,9,6.29,70,48.95,0,0.00,61,42.66
CF11 7AU,9,6.29,70,48.95,0,0.00,61,42.66
CF11 7AT,9,6.29,70,48.95,0,0.00,61,42.66
CF11 7AP,9,6.29,70,48.95,0,0.00,61,42.66
CF11 7AD,9,6.29,70,48.95,0,0.00,61,42.66
CF11 7DE,6,4.88,96,78.05,1,0.81,16,13.01
CF11 7DB,6,4.88,96,78.05,1,0.81,16,13.01
CF11 7DA,6,4.88,96,78.05,1,0.81,16,13.01
CF11 7AX,6,4.88,96,78.05,1,0.81,16,13.01
CF11 7HH,4,3.42,74,63.25,1,0.85,36,30.77
CF11 7HF,4,3.42,74,63.25,1,0.85,36,30.77
CF11 7ER,4,3.42,74,63.25,1,0.85,36,30.77
CF11 7EQ,4,3.42,74,63.25,1,0.85,36,30.77
CF11 7DN,4,3.42,74,63.25,1,0.85,36,30.77
CF11 7DL,4,3.42,74,63.25,1,0.85,36,30.77
CF11 7DG,4,3.42,74,63.25,1,0.85,36,30.77
CF11 7DU,4,3.05,105,80.15,0,0.00,17,12.98
CF11 7DT,4,3.05,105,80.15,0,0.00,17,12.98
CF11 7DJ,4,3.05,105,80.15,0,0.00,17,12.98
CF11 7DF,4,3.05,105,80.15,0,0.00,17,12.98
CF11 7DD,4,3.05,105,80.15,0,0.00,17,12.98
CF11 7NB,3,2.03,59,39.86,0,0.00,81,54.73
CF11 7JW,3,2.03,59,39.86,0,0.00,81,54.73
CF11 7JH,3,2.03,59,39.86,0,0.00,81,54.73
CF11 7FF,3,2.03,59,39.86,0,0.00,81,54.73
CF11 7TQ,2,1.05,87,45.55,0,0.00,94,49.21
CF11 7QE,2,1.05,87,45.55,0,0.00,94,49.21
CF11 7QB,2,1.05,87,45.55,0,0.00,94,49.21
CF11 7JJ,2,1.05,87,45.55,0,0.00,94,49.21
CF11 7EB,2,1.05,87,45.55,0,0.00,94,49.21
CF11 7BJ,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7BH,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7AR,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7AJ,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7AH,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7AG,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7AF,1,0.86,99,85.34,0,0.00,13,11.21
