Postcode,Owned Outright,Owned Outright %,Owned with Mortgage,Owned with Mortgage %,Shared Ownership,Shared Ownership %,Rented From Council,Rented From Council %,Rented Other Social,Rented Other Social %,Rented Private Landlord,Rented Private Landlord %,Rented Other,Rented Other %,Rent Free,Rent Free %,Total,Council+Other Social (Count),Council+Other Social (%)
CF11 8DJ,12,12.50,71,73.96,0,0.00,0,0.00,3,3.13,9,9.38,1,1.04,0,0.00,96,3,3.13
CF11 8DL,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8DN,34,28.33,40,33.33,0,0.00,0,0.00,13,10.83,31,25.83,2,1.67,0,0.00,120,13,10.83
CF11 8DP,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8DQ,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
CF11 8DR,54,42.86,57,45.24,0,0.00,1,0.79,3,2.38,6,4.76,5,3.97,0,0.00,126,4,3.17
CF11 8DS,19,15.45,96,78.05,0,0.00,1,0.81,2,1.63,5,4.07,0,0.00,0,0.00,123,3,2.44
CF11 8DT,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
CF11 8DU,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
CF11 8DW,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
CF11 8DX,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
CF11 8DY,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
CF11 8DZ,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
CF11 8EA,50,34.72,56,38.89,2,1.39,0,0.00,0,0.00,33,22.92,3,2.08,0,0.00,144,0,0.00
CF11 8EB,59,44.03,41,30.60,0,0.00,9,6.72,0,0.00,19,14.18,6,4.48,0,0.00,134,9,6.72
CF11 8ED,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8EE,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8EF,26,22.61,18,15.65,0,0.00,6,5.22,41,35.65,22,19.13,2,1.74,0,0.00,115,47,40.87
CF11 8EG,15,9.80,14,9.15,0,0.00,76,49.67,18,11.76,24,15.69,3,1.96,3,1.96,153,94,61.44
CF11 8EH,59,44.03,41,30.60,0,0.00,9,6.72,0,0.00,19,14.18,6,4.48,0,0.00,134,9,6.72
CF11 8EJ,34,28.33,40,33.33,0,0.00,0,0.00,13,10.83,31,25.83,2,1.67,0,0.00,120,13,10.83
CF11 8EL,11,7.80,53,37.59,0,0.00,0,0.00,47,33.33,23,16.31,7,4.96,0,0.00,141,47,33.33
CF11 8EN,11,7.80,53,37.59,0,0.00,0,0.00,47,33.33,23,16.31,7,4.96,0,0.00,141,47,33.33
CF11 8EP,11,7.80,53,37.59,0,0.00,0,0.00,47,33.33,23,16.31,7,4.96,0,0.00,141,47,33.33
CF11 8EQ,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8ER,15,9.80,14,9.15,0,0.00,76,49.67,18,11.76,24,15.69,3,1.96,3,1.96,153,94,61.44
CF11 8ES,50,34.72,56,38.89,2,1.39,0,0.00,0,0.00,33,22.92,3,2.08,0,0.00,144,0,0.00
CF11 8ET,50,34.72,56,38.89,2,1.39,0,0.00,0,0.00,33,22.92,3,2.08,0,0.00,144,0,0.00
CF11 8EW,38,23.17,42,25.61,0,0.00,3,1.83,63,38.41,15,9.15,3,1.83,0,0.00,164,66,40.24
CF11 8EX,38,23.17,42,25.61,0,0.00,3,1.83,63,38.41,15,9.15,3,1.83,0,0.00,164,66,40.24
CF11 8EY,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8EZ,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8FA,12,12.50,71,73.96,0,0.00,0,0.00,3,3.13,9,9.38,1,1.04,0,0.00,96,3,3.13
CF11 8FB,5,3.97,37,29.37,2,1.59,3,2.38,60,47.62,19,15.08,0,0.00,0,0.00,126,63,50.00
CF11 8FD,12,12.50,71,73.96,0,0.00,0,0.00,3,3.13,9,9.38,1,1.04,0,0.00,96,3,3.13
CF11 8FE,19,15.45,96,78.05,0,0.00,1,0.81,2,1.63,5,4.07,0,0.00,0,0.00,123,3,2.44
CF11 8FF,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8FG,19,15.45,96,78.05,0,0.00,1,0.81,2,1.63,5,4.07,0,0.00,0,0.00,123,3,2.44
CF11 8FH,19,15.45,96,78.05,0,0.00,1,0.81,2,1.63,5,4.07,0,0.00,0,0.00,123,3,2.44
CF11 8FJ,19,15.45,96,78.05,0,0.00,1,0.81,2,1.63,5,4.07,0,0.00,0,0.00,123,3,2.44
CF11 8FL,19,15.45,96,78.05,0,0.00,1,0.81,2,1.63,5,4.07,0,0.00,0,0.00,123,3,2.44
CF11 8FN,12,12.50,71,73.96,0,0.00,0,0.00,3,3.13,9,9.38,1,1.04,0,0.00,96,3,3.13
CF11 8FP,19,15.45,96,78.05,0,0.00,1,0.81,2,1.63,5,4.07,0,0.00,0,0.00,123,3,2.44
CF11 8FQ,19,15.45,96,78.05,0,0.00,1,0.81,2,1.63,5,4.07,0,0.00,0,0.00,123,3,2.44
CF11 8FR,19,15.45,96,78.05,0,0.00,1,0.81,2,1.63,5,4.07,0,0.00,0,0.00,123,3,2.44
CF11 8FS,23,22.33,28,27.18,1,0.97,1,0.97,38,36.89,11,10.68,1,0.97,0,0.00,103,39,37.86
CF11 8FT,12,12.50,71,73.96,0,0.00,0,0.00,3,3.13,9,9.38,1,1.04,0,0.00,96,3,3.13
CF11 8FW,5,3.97,37,29.37,2,1.59,3,2.38,60,47.62,19,15.08,0,0.00,0,0.00,126,63,50.00
CF11 8FX,3,3.80,9,11.39,0,0.00,2,2.53,51,64.56,14,17.72,0,0.00,0,0.00,79,53,67.09
CF11 8FY,3,3.80,9,11.39,0,0.00,2,2.53,51,64.56,14,17.72,0,0.00,0,0.00,79,53,67.09
CF11 8FZ,3,3.80,9,11.39,0,0.00,2,2.53,51,64.56,14,17.72,0,0.00,0,0.00,79,53,67.09
CF11 8GA,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8GB,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8GD,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8GE,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8GF,5,3.97,37,29.37,2,1.59,3,2.38,60,47.62,19,15.08,0,0.00,0,0.00,126,63,50.00
CF11 8GG,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8GH,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8GJ,57,38.78,57,38.78,0,0.00,1,0.68,2,1.36,25,17.01,4,2.72,1,0.68,147,3,2.04
CF11 8GL,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8GN,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8GP,23,22.33,28,27.18,1,0.97,1,0.97,38,36.89,11,10.68,1,0.97,0,0.00,103,39,37.86
CF11 8GR,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
CF11 8GS,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
CF11 8GT,17,13.08,21,16.15,0,0.00,60,46.15,17,13.08,12,9.23,0,0.00,3,2.31,130,77,59.23
CF11 8HA,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8HB,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8HD,36,27.69,39,30.00,0,0.00,0,0.00,16,12.31,35,26.92,4,3.08,0,0.00,130,16,12.31
CF11 8HF,69,38.76,56,31.46,0,0.00,0,0.00,21,11.80,27,15.17,5,2.81,0,0.00,178,21,11.80
CF11 8HG,17,13.08,21,16.15,0,0.00,60,46.15,17,13.08,12,9.23,0,0.00,3,2.31,130,77,59.23
CF11 8HH,17,13.08,21,16.15,0,0.00,60,46.15,17,13.08,12,9.23,0,0.00,3,2.31,130,77,59.23
CF11 8HJ,36,25.71,48,34.29,1,0.71,1,0.71,10,7.14,42,30.00,2,1.43,0,0.00,140,11,7.86
CF11 8HL,69,38.76,56,31.46,0,0.00,0,0.00,21,11.80,27,15.17,5,2.81,0,0.00,178,21,11.80
CF11 8HP,38,23.17,42,25.61,0,0.00,3,1.83,63,38.41,15,9.15,3,1.83,0,0.00,164,66,40.24
CF11 8HQ,38,23.17,42,25.61,0,0.00,3,1.83,63,38.41,15,9.15,3,1.83,0,0.00,164,66,40.24
CF11 8HX,38,23.17,42,25.61,0,0.00,3,1.83,63,38.41,15,9.15,3,1.83,0,0.00,164,66,40.24
CF11 8JF,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8JJ,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8JN,50,34.72,56,38.89,2,1.39,0,0.00,0,0.00,33,22.92,3,2.08,0,0.00,144,0,0.00
CF11 8JP,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8JQ,59,49.58,36,30.25,0,0.00,0,0.00,1,0.84,17,14.29,6,5.04,0,0.00,119,1,0.84
CF11 8LA,36,27.69,39,30.00,0,0.00,0,0.00,16,12.31,35,26.92,4,3.08,0,0.00,130,16,12.31
CF11 8LR,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8NB,34,28.33,40,33.33,0,0.00,0,0.00,13,10.83,31,25.83,2,1.67,0,0.00,120,13,10.83
CF11 8ND,50,34.72,56,38.89,2,1.39,0,0.00,0,0.00,33,22.92,3,2.08,0,0.00,144,0,0.00
CF11 8NE,59,44.03,41,30.60,0,0.00,9,6.72,0,0.00,19,14.18,6,4.48,0,0.00,134,9,6.72
CF11 8NN,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8PD,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8PF,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8PG,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8PH,54,38.30,56,39.72,0,0.00,0,0.00,11,7.80,18,12.77,2,1.42,0,0.00,141,11,7.80
CF11 8PJ,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8PL,23,22.33,28,27.18,1,0.97,1,0.97,38,36.89,11,10.68,1,0.97,0,0.00,103,39,37.86
CF11 8PN,12,12.50,71,73.96,0,0.00,0,0.00,3,3.13,9,9.38,1,1.04,0,0.00,96,3,3.13
CF11 8PU,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8PZ,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8QF,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8QY,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8RD,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8RQ,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8RR,67,44.08,78,51.32,0,0.00,0,0.00,7,4.61,0,0.00,0,0.00,0,0.00,152,7,4.61
CF11 8SE,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8SR,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8ST,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8SU,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
CF11 8SX,11,7.80,53,37.59,0,0.00,0,0.00,47,33.33,23,16.31,7,4.96,0,0.00,141,47,33.33
CF11 8TA,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8TB,59,44.03,41,30.60,0,0.00,9,6.72,0,0.00,19,14.18,6,4.48,0,0.00,134,9,6.72
CF11 8TD,26,22.61,18,15.65,0,0.00,6,5.22,41,35.65,22,19.13,2,1.74,0,0.00,115,47,40.87
CF11 8TE,27,22.88,39,33.05,0,0.00,9,7.63,2,1.69,35,29.66,6,5.08,0,0.00,118,11,9.32
CF11 8TF,59,44.03,41,30.60,0,0.00,9,6.72,0,0.00,19,14.18,6,4.48,0,0.00,134,9,6.72
CF11 8TJ,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8TL,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8TN,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8TP,15,9.80,14,9.15,0,0.00,76,49.67,18,11.76,24,15.69,3,1.96,3,1.96,153,94,61.44
CF11 8TQ,59,49.58,36,30.25,0,0.00,0,0.00,1,0.84,17,14.29,6,5.04,0,0.00,119,1,0.84
CF11 8TR,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8TS,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8TT,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8TU,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8TW,59,49.58,36,30.25,0,0.00,0,0.00,1,0.84,17,14.29,6,5.04,0,0.00,119,1,0.84
CF11 8TX,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8TY,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8TZ,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8UA,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8UB,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8UE,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8UL,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8UP,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
