Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 3BS,15,7.01%,10,4.67%,0,0.00%,0,0.00%
CF24 3BT,15,7.01%,10,4.67%,0,0.00%,0,0.00%
CF24 3BU,42,21.43%,11,5.61%,3,1.53%,0,0.00%
CF24 3BW,18,8.78%,27,13.17%,0,0.00%,0,0.00%
CF24 3BX,15,7.01%,10,4.67%,0,0.00%,0,0.00%
CF24 3BY,42,21.43%,11,5.61%,3,1.53%,0,0.00%
CF24 3BZ,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3DA,23,15.23%,28,18.54%,1,0.66%,0,0.00%
CF24 3DB,23,15.23%,28,18.54%,1,0.66%,0,0.00%
CF24 3DD,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3DE,4,4.30%,33,35.48%,0,0.00%,0,0.00%
CF24 3DF,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3DG,23,15.23%,28,18.54%,1,0.66%,0,0.00%
CF24 3DH,4,4.30%,33,35.48%,0,0.00%,0,0.00%
CF24 3DJ,63,58.33%,31,28.70%,4,3.70%,0,0.00%
CF24 3DL,11,9.32%,6,5.08%,0,0.00%,0,0.00%
CF24 3DN,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3DQ,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3DR,13,10.74%,47,38.84%,0,0.00%,0,0.00%
CF24 3DS,11,9.32%,6,5.08%,0,0.00%,0,0.00%
CF24 3DT,49,29.70%,62,37.58%,0,0.00%,0,0.00%
CF24 3DU,49,29.70%,62,37.58%,0,0.00%,0,0.00%
CF24 3DW,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3DX,49,29.70%,62,37.58%,0,0.00%,0,0.00%
CF24 3DY,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3DZ,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3EA,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3GP,2,1.75%,76,66.67%,2,1.75%,0,0.00%
CF24 3HA,2,1.68%,65,54.62%,1,0.84%,0,0.00%
CF24 3HB,2,1.68%,65,54.62%,1,0.84%,0,0.00%
CF24 3HD,3,2.75%,56,51.38%,3,2.75%,0,0.00%
CF24 3HE,12,10.00%,58,48.33%,0,0.00%,0,0.00%
CF24 3HF,12,10.00%,58,48.33%,0,0.00%,0,0.00%
CF24 3HG,12,10.00%,58,48.33%,0,0.00%,0,0.00%
CF24 3HH,9,7.32%,64,52.03%,0,0.00%,0,0.00%
CF24 3HJ,13,10.74%,47,38.84%,0,0.00%,0,0.00%
CF24 3HL,3,2.75%,56,51.38%,3,2.75%,0,0.00%
CF24 3HN,13,10.74%,47,38.84%,0,0.00%,0,0.00%
CF24 3HP,10,7.09%,75,53.19%,0,0.00%,0,0.00%
CF24 3HQ,10,7.09%,75,53.19%,0,0.00%,0,0.00%
CF24 3HR,13,10.74%,47,38.84%,0,0.00%,0,0.00%
CF24 3HS,13,10.74%,47,38.84%,0,0.00%,0,0.00%
CF24 3HT,3,2.75%,56,51.38%,3,2.75%,0,0.00%
CF24 3HU,10,7.09%,75,53.19%,0,0.00%,0,0.00%
CF24 3HW,14,10.37%,44,32.59%,0,0.00%,0,0.00%
CF24 3HX,14,10.37%,44,32.59%,0,0.00%,0,0.00%
CF24 3JA,15,7.01%,10,4.67%,0,0.00%,0,0.00%
CF24 3JB,18,8.78%,27,13.17%,0,0.00%,0,0.00%
CF24 3JD,7,4.70%,33,22.15%,0,0.00%,0,0.00%
CF24 3JE,18,8.78%,27,13.17%,0,0.00%,0,0.00%
CF24 3JF,18,8.78%,27,13.17%,0,0.00%,0,0.00%
CF24 3JG,7,4.70%,33,22.15%,0,0.00%,0,0.00%
CF24 3JH,7,4.70%,33,22.15%,0,0.00%,0,0.00%
CF24 3NS,4,2.41%,57,34.34%,1,0.60%,0,0.00%
CF24 3NT,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3NU,14,10.29%,18,13.24%,0,0.00%,0,0.00%
CF24 3NW,1,0.71%,83,58.87%,1,0.71%,0,0.00%
CF24 3NX,1,0.71%,83,58.87%,1,0.71%,0,0.00%
CF24 3NY,43,31.39%,54,39.42%,0,0.00%,0,0.00%
CF24 3NZ,4,2.41%,57,34.34%,1,0.60%,0,0.00%
