Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 0HY,101,90.99%
CF3 0HU,162,86.63%
CF3 0JN,162,86.63%
CF3 0JQ,162,86.63%
CF3 0JR,162,86.63%
CF3 0JS,82,82.00%
CF3 0HX,90,79.65%
CF3 0HZ,90,79.65%
CF3 0JH,90,77.59%
CF3 0JJ,90,77.59%
CF3 0JL,90,77.59%
CF3 0HN,96,71.11%
CF3 0HP,96,71.11%
CF3 0HR,92,70.77%
CF3 0HT,66,48.89%
CF3 0HW,66,48.89%
CF3 0JP,66,48.89%
CF3 0HS,54,30.17%
CF3 0HQ,27,18.75%
CF3 0JA,27,18.75%
CF3 0JD,27,18.75%
CF3 0JF,27,18.75%
CF3 0JG,27,18.75%
CF3 0JB,4,3.15%
CF3 0JE,4,3.15%
