Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 1DW,116,87.88%
CF3 1DX,116,87.88%
CF3 1DZ,116,87.88%
CF3 1EY,58,52.73%
CF3 1NT,54,49.09%
CF3 1QS,54,49.09%
CF3 1QT,54,49.09%
CF3 1QA,47,40.17%
CF3 1QB,47,40.17%
CF3 1QG,47,40.17%
CF3 1QJ,56,39.72%
CF3 1QL,56,39.72%
CF3 1QR,56,39.72%
CF3 1AB,55,35.26%
CF3 1QU,55,35.26%
CF3 1QE,70,33.65%
CF3 1QW,47,31.97%
CF3 1PZ,37,27.21%
CF3 1QD,37,27.21%
CF3 1QF,37,27.21%
CF3 1QN,37,27.21%
CF3 1NP,35,24.82%
CF3 1QQ,35,24.82%
CF3 1QH,31,24.80%
CF3 1NR,3,3.45%
