Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 3NX,48,49.48%
CF3 3PB,48,49.48%
CF3 3PD,48,49.48%
CF3 3PF,48,49.48%
CF3 3NW,52,41.27%
CF3 3PT,52,41.27%
CF3 3NR,49,40.50%
CF3 3NT,49,40.50%
CF3 3NU,49,40.50%
CF3 3NY,49,40.50%
CF3 3PH,47,40.17%
CF3 3PN,47,40.17%
CF3 3PE,50,39.68%
CF3 3PG,50,39.68%
CF3 3PL,50,39.68%
CF3 3PU,50,39.68%
CF3 3NZ,70,33.65%
CF3 3PA,70,33.65%
CF3 3PJ,37,27.21%
CF3 3PP,37,27.21%
CF3 3NN,28,17.83%
CF3 3PW,28,17.83%
CF3 3NP,2,1.59%
CF3 3NQ,2,1.59%
CF3 3NS,2,1.59%
