Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 1DZ,116,87.88%
CF3 1DX,116,87.88%
CF3 1DW,116,87.88%
CF3 1RD,87,60.42%
CF3 1RB,87,60.42%
CF3 1RA,87,60.42%
CF3 1SF,81,58.70%
CF3 1SA,81,58.70%
CF3 1RZ,81,58.70%
CF3 1RQ,81,58.70%
CF3 1QY,81,58.70%
CF3 1YA,58,52.73%
CF3 1XH,58,52.73%
CF3 1TH,58,52.73%
CF3 1EY,58,52.73%
CF3 1RF,54,49.09%
CF3 1QZ,54,49.09%
CF3 1QT,54,49.09%
CF3 1QS,54,49.09%
CF3 1NT,54,49.09%
CF3 1SP,91,42.72%
CF3 1SB,47,40.17%
CF3 1QG,47,40.17%
CF3 1QB,47,40.17%
CF3 1QA,47,40.17%
CF3 1SE,56,39.72%
CF3 1RY,56,39.72%
CF3 1RW,56,39.72%
CF3 1RU,56,39.72%
CF3 1QR,56,39.72%
CF3 1QL,56,39.72%
CF3 1QJ,56,39.72%
CF3 1UT,57,37.25%
CF3 1TG,57,37.25%
CF3 1TF,57,37.25%
CF3 1TE,57,37.25%
CF3 1TD,57,37.25%
CF3 1TA,57,37.25%
CF3 1ST,57,37.25%
CF3 1YL,55,35.26%
CF3 1RT,55,35.26%
CF3 1RS,55,35.26%
CF3 1RN,55,35.26%
CF3 1RL,55,35.26%
CF3 1QX,55,35.26%
CF3 1QU,55,35.26%
CF3 1AB,55,35.26%
CF3 1US,49,34.03%
CF3 1SS,49,34.03%
CF3 1SR,49,34.03%
CF3 1SQ,49,34.03%
CF3 1SL,49,34.03%
CF3 1SJ,49,34.03%
CF3 1RE,49,34.03%
CF3 1QE,70,33.65%
CF3 1TN,47,31.97%
CF3 1RX,47,31.97%
CF3 1RR,47,31.97%
CF3 1RJ,47,31.97%
CF3 1RH,47,31.97%
CF3 1RG,47,31.97%
CF3 1QW,47,31.97%
CF3 1QN,37,27.21%
CF3 1QF,37,27.21%
CF3 1QD,37,27.21%
CF3 1PZ,37,27.21%
CF3 1XQ,35,24.82%
CF3 1UL,35,24.82%
CF3 1UJ,35,24.82%
CF3 1UG,35,24.82%
CF3 1UF,35,24.82%
CF3 1QQ,35,24.82%
CF3 1NP,35,24.82%
CF3 1TB,31,24.80%
CF3 1SY,31,24.80%
CF3 1SX,31,24.80%
CF3 1SG,31,24.80%
CF3 1SD,31,24.80%
CF3 1QH,31,24.80%
CF3 1TL,26,19.40%
CF3 1TJ,26,19.40%
CF3 1SZ,26,19.40%
CF3 1SW,26,19.40%
CF3 1SU,26,19.40%
CF3 1SH,26,19.40%
CF3 1RP,26,19.40%
CF3 1XY,21,14.58%
CF3 1NR,3,3.45%
