Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 0HG,96,71.11%
CF3 0HH,96,71.11%
CF3 0HJ,96,71.11%
CF3 0HL,96,71.11%
CF3 0FP,92,70.77%
CF3 0HB,83,69.17%
CF3 0HD,83,69.17%
CF3 0HE,83,69.17%
CF3 0FN,66,51.97%
CF3 0FH,91,42.72%
CF3 0FJ,91,42.72%
CF3 0HA,66,30.84%
CF3 0HF,66,30.84%
CF3 0FA,54,30.17%
CF3 0FQ,54,30.17%
CF3 0GB,27,18.75%
CF3 0FL,16,12.03%
CF3 0FF,12,8.16%
CF3 0FG,12,8.16%
CF3 0FD,1,0.93%
CF3 0GA,1,0.93%
CF3 0EW,1,0.76%
CF3 0EY,1,0.76%
CF3 0FB,1,0.76%
CF3 0FE,1,0.76%
