Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 4ZP,85,47.22%
CF3 4LL,49,40.50%
CF3 4HP,44,40.00%
CF3 4HN,44,40.00%
CF3 4HL,44,40.00%
CF3 4HG,44,40.00%
CF3 4TA,39,39.80%
CF3 4ER,39,39.80%
CF3 4EF,39,39.80%
CF3 4ED,39,39.80%
CF3 4DY,39,39.80%
CF3 4ES,40,37.38%
CF3 4EJ,40,37.38%
CF3 4EG,40,37.38%
CF3 4EE,40,37.38%
CF3 4EB,40,37.38%
CF3 4DX,40,37.38%
CF3 4JL,43,36.13%
CF3 4JB,43,36.13%
CF3 4HR,43,36.13%
CF3 4HJ,43,36.13%
CF3 4HH,43,36.13%
CF3 4HE,43,36.13%
CF3 4BE,43,36.13%
CF3 4EQ,40,28.99%
CF3 4EP,40,28.99%
CF3 4EA,40,28.99%
CF3 4DZ,40,28.99%
CF3 4DU,40,28.99%
CF3 4DT,40,28.99%
CF3 4DL,40,28.99%
CF3 4JS,41,28.67%
CF3 4JR,41,28.67%
CF3 4JP,41,28.67%
CF3 4JH,41,28.67%
CF3 4JD,41,28.67%
CF3 4JA,41,28.67%
CF3 4DH,41,28.67%
CF3 4DG,41,28.67%
CF3 4DE,41,28.67%
CF3 4BF,41,28.67%
CF3 4EN,35,26.92%
CF3 4EL,35,26.92%
CF3 4EH,35,26.92%
CF3 4DW,35,26.92%
CF3 4DS,35,26.92%
CF3 4DP,35,26.92%
CF3 4JG,38,26.77%
CF3 4JF,38,26.77%
CF3 4JE,38,26.77%
CF3 4JJ,38,26.76%
CF3 4FD,34,24.46%
CF3 4BD,34,24.46%
CF3 4AX,34,24.46%
CF3 4AW,34,24.46%
CF3 4AU,34,24.46%
CF3 4AT,34,24.46%
CF3 4HF,29,22.14%
CF3 4HD,29,22.14%
CF3 4HB,29,22.14%
CF3 4HA,29,22.14%
CF3 4BX,29,22.14%
CF3 4DR,27,20.61%
CF3 4DQ,27,20.61%
CF3 4DD,27,20.61%
CF3 4DB,27,20.61%
CF3 4DA,27,20.61%
CF3 4BZ,27,20.61%
CF3 4TE,19,16.38%
CF3 4TD,19,16.38%
CF3 4TB,19,16.38%
CF3 4LS,7,4.76%
CF3 4LR,7,4.76%
CF3 4LJ,7,4.76%
CF3 4LH,7,4.76%
CF3 4FH,7,4.76%
CF3 4DN,6,3.64%
CF3 4BY,6,3.64%
CF3 4BW,6,3.64%
CF3 4BU,6,3.64%
CF3 4BT,6,3.64%
CF3 4BR,6,3.64%
CF3 4BQ,6,3.64%
CF3 4BP,6,3.64%
CF3 4BN,6,3.64%
CF3 4BL,4,3.54%
CF3 4BJ,4,3.54%
CF3 4BH,4,3.54%
CF3 4BG,4,3.54%
CF3 4AS,2,1.60%
CF3 4AR,2,1.60%
CF3 4AQ,2,1.60%
CF3 4AN,2,1.60%
CF3 4AL,2,1.60%
CF3 4AJ,2,1.60%
CF3 4AP,2,1.45%
CF3 4AH,2,1.45%
CF3 4AE,2,1.45%
CF3 4AB,2,1.45%
CF3 4AA,2,1.45%
CF3 4LQ,1,0.88%
CF3 4FG,1,0.81%
CF3 4TG,0,0.00%
CF3 4JQ,0,0.00%
CF3 4JN,0,0.00%
CF3 4FU,0,0.00%
CF3 4FT,0,0.00%
CF3 4FF,0,0.00%
CF3 4FE,0,0.00%
CF3 4FB,0,0.00%
CF3 4FA,0,0.00%
CF3 4DJ,0,0.00%
CF3 4DF,0,0.00%
CF3 4BS,0,0.00%
CF3 4BB,0,0.00%
CF3 4BA,0,0.00%
CF3 4AZ,0,0.00%
CF3 4AG,0,0.00%
CF3 4AF,0,0.00%
CF3 4AD,0,0.00%
