Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 1SF,81,58.70%
CF3 1TH,58,52.73%
CF3 1SP,91,42.72%
CF3 1SE,56,39.72%
CF3 1ST,57,37.25%
CF3 1TA,57,37.25%
CF3 1TD,57,37.25%
CF3 1TE,57,37.25%
CF3 1TF,57,37.25%
CF3 1TG,57,37.25%
CF3 1SJ,49,34.03%
CF3 1SL,49,34.03%
CF3 1SQ,49,34.03%
CF3 1SR,49,34.03%
CF3 1SS,49,34.03%
CF3 1SD,31,24.80%
CF3 1SG,31,24.80%
CF3 1SX,31,24.80%
CF3 1SY,31,24.80%
CF3 1TB,31,24.80%
CF3 1SH,26,19.40%
CF3 1SU,26,19.40%
CF3 1SW,26,19.40%
CF3 1SZ,26,19.40%
CF3 1TJ,26,19.40%
