Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 0AR,101,91.00%
CF3 0HY,101,90.99%
CF3 0DY,101,90.99%
CF3 0DX,101,90.99%
CF3 0JR,162,86.63%
CF3 0JQ,162,86.63%
CF3 0JN,162,86.63%
CF3 0HU,162,86.63%
CF3 0BP,162,86.63%
CF3 0BJ,162,86.63%
CF3 0JT,82,82.00%
CF3 0JS,82,82.00%
CF3 0BN,82,82.00%
CF3 0AW,82,82.00%
CF3 0AU,82,82.00%
CF3 0NJ,88,81.48%
CF3 0JY,88,81.48%
CF3 0JW,88,81.48%
CF3 0JU,88,81.48%
CF3 0NR,90,79.65%
CF3 0NQ,90,79.65%
CF3 0NP,90,79.65%
CF3 0JZ,90,79.65%
CF3 0JX,90,79.65%
CF3 0HZ,90,79.65%
CF3 0HX,90,79.65%
CF3 0JL,90,77.59%
CF3 0JJ,90,77.59%
CF3 0JH,90,77.59%
CF3 0HP,96,71.11%
CF3 0HN,96,71.11%
CF3 0HL,96,71.11%
CF3 0HJ,96,71.11%
CF3 0HH,96,71.11%
CF3 0HG,96,71.11%
CF3 0NT,92,70.77%
CF3 0HR,92,70.77%
CF3 0FP,92,70.77%
CF3 0EU,92,70.77%
CF3 0ET,92,70.77%
CF3 0EP,92,70.77%
CF3 0HE,83,69.17%
CF3 0HD,83,69.17%
CF3 0HB,83,69.17%
CF3 0BE,94,61.44%
CF3 0BD,94,61.44%
CF3 0BB,94,61.44%
CF3 0BA,94,61.44%
CF3 0AD,94,61.44%
CF3 0AB,94,61.44%
CF3 0BG,87,60.42%
CF3 0AP,57,55.88%
CF3 0AN,57,55.88%
CF3 0AG,57,55.88%
CF3 0FN,66,51.97%
CF3 0BH,66,51.97%
CF3 0AL,66,51.97%
CF3 0AJ,66,51.97%
CF3 0AH,66,51.97%
CF3 0AF,66,51.97%
CF3 0JP,66,48.89%
CF3 0HW,66,48.89%
CF3 0HT,66,48.89%
CF3 0ES,66,48.89%
CF3 0BQ,66,48.89%
CF3 0BL,66,48.89%
CF3 0XU,91,42.72%
CF3 0PY,91,42.72%
CF3 0FJ,91,42.72%
CF3 0FH,91,42.72%
CF3 0PT,51,41.46%
CF3 0NW,51,41.46%
CF3 0DZ,51,41.46%
CF3 0AX,51,41.46%
CF3 0HF,66,30.84%
CF3 0HA,66,30.84%
CF3 0EE,66,30.84%
CF3 0ED,66,30.84%
CF3 0EB,66,30.84%
CF3 0EA,66,30.84%
CF3 0BY,66,30.84%
CF3 0BF,66,30.84%
CF3 0NS,54,30.17%
CF3 0HS,54,30.17%
CF3 0FQ,54,30.17%
CF3 0FA,54,30.17%
CF3 0ER,54,30.17%
CF3 0EQ,54,30.17%
CF3 0EN,54,30.17%
CF3 0BZ,54,30.17%
CF3 0AQ,38,28.57%
CF3 0AE,38,28.57%
CF3 0AA,38,28.57%
CF3 0UJ,37,28.03%
CF3 0UG,37,28.03%
CF3 0LP,27,18.75%
CF3 0JG,27,18.75%
CF3 0JF,27,18.75%
CF3 0JD,27,18.75%
CF3 0JA,27,18.75%
CF3 0HQ,27,18.75%
CF3 0GB,27,18.75%
CF3 0NN,22,16.92%
CF3 0PW,21,14.58%
CF3 0PL,21,14.58%
CF3 0NG,17,14.29%
CF3 0LY,17,14.29%
CF3 0LN,17,14.29%
CF3 0LD,17,14.29%
CF3 0LB,17,14.29%
CF3 0RN,16,12.03%
CF3 0PR,16,12.03%
CF3 0PP,16,12.03%
CF3 0PJ,16,12.03%
CF3 0FL,16,12.03%
CF3 0AZ,11,9.83%
CF3 0WJ,11,9.82%
CF3 0ST,11,9.82%
CF3 0PG,11,9.82%
CF3 0PF,11,9.82%
CF3 0PD,11,9.82%
CF3 0PB,11,9.82%
CF3 0RQ,12,8.16%
CF3 0RP,12,8.16%
CF3 0QD,12,8.16%
CF3 0QB,12,8.16%
CF3 0QA,12,8.16%
CF3 0PZ,12,8.16%
CF3 0FG,12,8.16%
CF3 0FF,12,8.16%
CF3 0BX,10,7.09%
CF3 0BW,10,7.09%
CF3 0BU,10,7.09%
CF3 0BT,10,7.09%
CF3 0BS,10,7.09%
CF3 0AT,10,7.09%
CF3 0LU,8,5.56%
CF3 0LL,8,5.56%
CF3 0DR,8,5.56%
CF3 0DQ,8,5.56%
CF3 0DP,8,5.56%
CF3 0DW,6,5.26%
CF3 0DN,6,5.26%
CF3 0DL,6,5.26%
CF3 0DJ,6,5.26%
CF3 0DH,6,5.26%
CF3 0DF,6,5.26%
CF3 0NF,8,4.68%
CF3 0NE,8,4.68%
CF3 0LZ,8,4.68%
CF3 0LR,8,4.68%
CF3 0LQ,8,4.68%
CF3 0DU,6,4.17%
CF3 0DT,6,4.17%
CF3 0DS,6,4.17%
CF3 0RL,4,3.42%
CF3 0RJ,4,3.42%
CF3 0RH,4,3.42%
CF3 0RF,4,3.42%
CF3 0RD,4,3.42%
CF3 0SF,4,3.15%
CF3 0SE,4,3.15%
CF3 0SD,4,3.15%
CF3 0SB,4,3.15%
CF3 0PE,4,3.15%
CF3 0PA,4,3.15%
CF3 0JE,4,3.15%
CF3 0JB,4,3.15%
CF3 0NL,4,3.13%
CF3 0NH,4,3.13%
CF3 0ND,4,3.13%
CF3 0NB,4,3.13%
CF3 0NA,4,3.13%
CF3 0PH,2,1.54%
CF3 0NZ,2,1.54%
CF3 0NY,2,1.54%
CF3 0PU,1,0.99%
CF3 0PS,1,0.99%
CF3 0PQ,1,0.99%
CF3 0GA,1,0.93%
CF3 0FD,1,0.93%
CF3 0EH,1,0.93%
CF3 0EF,1,0.93%
CF3 0DG,1,0.93%
CF3 0DE,1,0.93%
CF3 0DD,1,0.93%
CF3 0DB,1,0.93%
CF3 0DA,1,0.93%
CF3 0AY,1,0.93%
CF3 0UH,1,0.78%
CF3 0LX,1,0.78%
CF3 0LJ,1,0.78%
CF3 0LH,1,0.78%
CF3 0LG,1,0.78%
CF3 0LF,1,0.78%
CF3 0LE,1,0.78%
CF3 0LA,1,0.78%
CF3 0EG,1,0.78%
CF3 0SG,1,0.76%
CF3 0SA,1,0.76%
CF3 0RG,1,0.76%
CF3 0RE,1,0.76%
CF3 0RB,1,0.76%
CF3 0RA,1,0.76%
CF3 0LW,1,0.76%
CF3 0LT,1,0.76%
CF3 0FE,1,0.76%
CF3 0FB,1,0.76%
CF3 0EY,1,0.76%
CF3 0EW,1,0.76%
CF3 0SH,0,0.00%
CF3 0PX,0,0.00%
CF3 0PN,0,0.00%
CF3 0NX,0,0.00%
CF3 0NU,0,0.00%
CF3 0LS,0,0.00%
CF3 0EL,0,0.00%
CF3 0EJ,0,0.00%
CF3 0AS,0,0.00%
