Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 0AR,101,91.00%
CF3 0AU,82,82.00%
CF3 0AW,82,82.00%
CF3 0AB,94,61.44%
CF3 0AD,94,61.44%
CF3 0BA,94,61.44%
CF3 0BB,94,61.44%
CF3 0BD,94,61.44%
CF3 0BE,94,61.44%
CF3 0AG,57,55.88%
CF3 0AN,57,55.88%
CF3 0AP,57,55.88%
CF3 0AF,66,51.97%
CF3 0AH,66,51.97%
CF3 0AJ,66,51.97%
CF3 0AL,66,51.97%
CF3 0AX,51,41.46%
CF3 0BF,66,30.84%
CF3 0AA,38,28.57%
CF3 0AE,38,28.57%
CF3 0AQ,38,28.57%
CF3 0AZ,11,9.83%
CF3 0AT,10,7.09%
CF3 0AY,1,0.93%
CF3 0AS,0,0.00%
