Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 3LG,48,42.11%
CF3 3LX,44,41.90%
CF3 3LY,44,41.90%
CF3 3LZ,44,41.90%
CF3 3NH,44,41.90%
CF3 3NE,52,41.27%
CF3 3NF,52,41.27%
CF3 3NG,52,41.27%
CF3 3NA,49,40.50%
CF3 3NB,49,40.50%
CF3 3ND,49,40.50%
CF3 3LF,70,33.65%
CF3 3LH,28,17.83%
CF3 3LJ,28,17.83%
CF3 3LQ,28,17.83%
CF3 3LR,28,17.83%
CF3 3LS,28,17.83%
CF3 3LT,28,17.83%
CF3 3LU,28,17.83%
CF3 3LW,28,17.83%
CF3 3NJ,28,17.83%
CF3 3NL,28,17.83%
CF3 3LE,2,1.59%
CF3 3LN,1,0.88%
CF3 3LP,1,0.81%
