Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 3JX,67,58.77%
CF3 3JH,67,58.77%
CF3 3JG,67,58.77%
CF3 3JF,67,58.77%
CF3 3JB,67,58.77%
CF3 3HZ,67,58.77%
CF3 3HY,67,58.77%
CF3 3HX,67,58.77%
CF3 3EP,58,52.73%
CF3 3EG,58,52.73%
CF3 3EF,58,52.73%
CF3 3EE,58,52.73%
CF3 3PF,48,49.48%
CF3 3PD,48,49.48%
CF3 3PB,48,49.48%
CF3 3NX,48,49.48%
CF3 3LG,48,42.11%
CF3 3LD,48,42.11%
CF3 3JW,48,42.11%
CF3 3HW,48,42.11%
CF3 3HU,48,42.11%
CF3 3HS,48,42.11%
CF3 3HR,48,42.11%
CF3 3NH,44,41.90%
CF3 3LZ,44,41.90%
CF3 3LY,44,41.90%
CF3 3LX,44,41.90%
CF3 3PT,52,41.27%
CF3 3NW,52,41.27%
CF3 3NG,52,41.27%
CF3 3NF,52,41.27%
CF3 3NE,52,41.27%
CF3 3NY,49,40.50%
CF3 3NU,49,40.50%
CF3 3NT,49,40.50%
CF3 3NR,49,40.50%
CF3 3ND,49,40.50%
CF3 3NB,49,40.50%
CF3 3NA,49,40.50%
CF3 3PN,47,40.17%
CF3 3PH,47,40.17%
CF3 3PU,50,39.68%
CF3 3PL,50,39.68%
CF3 3PG,50,39.68%
CF3 3PE,50,39.68%
CF3 3BW,59,38.56%
CF3 3BP,59,38.56%
CF3 3BN,59,38.56%
CF3 3BL,59,38.56%
CF3 3BJ,59,38.56%
CF3 3BF,59,38.56%
CF3 3AZ,59,38.56%
CF3 3PA,70,33.65%
CF3 3NZ,70,33.65%
CF3 3LF,70,33.65%
CF3 3JE,70,33.65%
CF3 3JA,70,33.65%
CF3 3HT,70,33.65%
CF3 3HP,70,33.65%
CF3 3HN,70,33.65%
CF3 3HL,70,33.65%
CF3 3AY,70,33.65%
CF3 3AW,70,33.65%
CF3 3PP,37,27.21%
CF3 3PJ,37,27.21%
CF3 3BX,28,21.71%
CF3 3AU,28,21.71%
CF3 3AR,28,21.71%
CF3 3PY,28,17.83%
CF3 3PX,28,17.83%
CF3 3PW,28,17.83%
CF3 3NN,28,17.83%
CF3 3NL,28,17.83%
CF3 3NJ,28,17.83%
CF3 3LW,28,17.83%
CF3 3LU,28,17.83%
CF3 3LT,28,17.83%
CF3 3LS,28,17.83%
CF3 3LR,28,17.83%
CF3 3LQ,28,17.83%
CF3 3LJ,28,17.83%
CF3 3LH,28,17.83%
CF3 3LB,21,17.07%
CF3 3LA,21,17.07%
CF3 3JT,21,17.07%
CF3 3JS,21,17.07%
CF3 3JQ,21,17.07%
CF3 3HA,21,17.07%
CF3 3JZ,9,8.82%
CF3 3JY,9,8.82%
CF3 3JU,9,8.82%
CF3 3JD,9,8.82%
CF3 3HE,9,8.82%
CF3 3ET,7,4.76%
CF3 3AX,7,4.76%
CF3 3BZ,3,2.40%
CF3 3BR,3,2.40%
CF3 3BQ,3,2.40%
CF3 3BH,3,2.40%
CF3 3BE,3,2.40%
CF3 3AT,3,2.40%
CF3 3NS,2,1.59%
CF3 3NQ,2,1.59%
CF3 3NP,2,1.59%
CF3 3LE,2,1.59%
CF3 3JR,2,1.59%
CF3 3JL,2,1.59%
CF3 3LN,1,0.88%
CF3 3JP,1,0.88%
CF3 3JN,1,0.88%
CF3 3JJ,1,0.88%
CF3 3LP,1,0.81%
CF3 3DQ,1,0.81%
CF3 3DP,1,0.81%
CF3 3DN,1,0.81%
CF3 3DL,1,0.81%
CF3 3DJ,1,0.81%
CF3 3HQ,1,0.78%
CF3 3HJ,1,0.78%
CF3 3HH,1,0.78%
CF3 3HG,1,0.78%
CF3 3HF,1,0.78%
CF3 3EB,1,0.78%
CF3 3DE,1,0.77%
CF3 3DD,1,0.77%
CF3 3DB,1,0.77%
CF3 3BY,1,0.77%
CF3 3BT,1,0.76%
CF3 3AS,1,0.76%
CF3 3AQ,1,0.76%
CF3 3AP,1,0.76%
CF3 3AN,1,0.76%
CF3 3AL,1,0.76%
CF3 3AJ,1,0.76%
CF3 3AH,1,0.76%
CF3 3AG,1,0.76%
CF3 3AF,1,0.76%
CF3 3AE,1,0.76%
CF3 3AD,1,0.76%
CF3 3AB,1,0.76%
CF3 3AA,1,0.76%
CF3 3XE,1,0.75%
CF3 3HD,1,0.75%
CF3 3HB,1,0.75%
CF3 3EA,1,0.75%
CF3 3BG,1,0.75%
CF3 3BD,1,0.75%
CF3 3DS,0,0.00%
CF3 3DR,0,0.00%
CF3 3BU,0,0.00%
CF3 3BS,0,0.00%
CF3 3BB,0,0.00%
CF3 3BA,0,0.00%
