Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 1RA,87,60.42%
CF3 1RB,87,60.42%
CF3 1RD,87,60.42%
CF3 1QY,81,58.70%
CF3 1RQ,81,58.70%
CF3 1RZ,81,58.70%
CF3 1SA,81,58.70%
CF3 1QZ,54,49.09%
CF3 1RF,54,49.09%
CF3 1SB,47,40.17%
CF3 1RU,56,39.72%
CF3 1RW,56,39.72%
CF3 1RY,56,39.72%
CF3 1QX,55,35.26%
CF3 1RL,55,35.26%
CF3 1RN,55,35.26%
CF3 1RS,55,35.26%
CF3 1RT,55,35.26%
CF3 1RE,49,34.03%
CF3 1RG,47,31.97%
CF3 1RH,47,31.97%
CF3 1RJ,47,31.97%
CF3 1RR,47,31.97%
CF3 1RX,47,31.97%
CF3 1RP,26,19.40%
