Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 3EE,58,52.73%
CF3 3EF,58,52.73%
CF3 3EG,58,52.73%
CF3 3EP,58,52.73%
CF3 3AZ,59,38.56%
CF3 3BF,59,38.56%
CF3 3BJ,59,38.56%
CF3 3BL,59,38.56%
CF3 3BN,59,38.56%
CF3 3BP,59,38.56%
CF3 3BW,59,38.56%
CF3 3AW,70,33.65%
CF3 3AY,70,33.65%
CF3 3HA,21,17.07%
CF3 3AD,28,21.71%
CF3 3AE,28,21.71%
CF3 3AR,28,21.71%
CF3 3AU,28,21.71%
CF3 3BX,28,21.71%
CF3 3AX,7,4.76%
CF3 3ET,7,4.76%
CF3 3AT,3,2.40%
CF3 3BE,3,2.40%
CF3 3BH,3,2.40%
CF3 3BQ,3,2.40%
CF3 3BR,3,2.40%
CF3 3BZ,3,2.40%
CF3 3AB,1,0.77%
CF3 3AF,1,0.77%
CF3 3AH,1,0.77%
CF3 3AL,1,0.77%
CF3 3BY,1,0.77%
CF3 3DB,1,0.77%
CF3 3DD,1,0.77%
CF3 3DE,1,0.77%
CF3 3BD,1,0.75%
CF3 3BG,1,0.75%
CF3 3EA,1,0.75%
CF3 3HB,1,0.75%
CF3 3HD,1,0.75%
CF3 3AG,1,0.76%
CF3 3AN,1,0.76%
CF3 3AP,1,0.76%
CF3 3AQ,1,0.76%
CF3 3AS,1,0.76%
CF3 3BT,1,0.76%
CF3 3EB,1,0.78%
CF3 3DJ,1,0.81%
CF3 3DL,1,0.81%
CF3 3DN,1,0.81%
CF3 3DP,1,0.81%
CF3 3DQ,1,0.81%
CF3 3AA,0,0.00%
CF3 3AJ,0,0.00%
CF3 3BA,0,0.00%
CF3 3BB,0,0.00%
CF3 3BS,0,0.00%
CF3 3BU,0,0.00%
CF3 3DR,0,0.00%
CF3 3DS,0,0.00%
