Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 3HE,9,8.82%
CF3 3HF,1,0.78%
CF3 3HG,1,0.78%
CF3 3HH,1,0.78%
CF3 3HJ,1,0.78%
CF3 3HL,70,33.65%
CF3 3HN,70,33.65%
CF3 3HP,70,33.65%
CF3 3HQ,1,0.78%
CF3 3HR,48,42.11%
CF3 3HS,48,42.11%
CF3 3HT,70,33.65%
CF3 3HU,48,42.11%
CF3 3HW,48,42.11%
CF3 3HX,67,58.77%
CF3 3HY,67,58.77%
CF3 3HZ,67,58.77%
CF3 3JA,70,33.65%
CF3 3JB,67,58.77%
CF3 3JD,9,8.82%
CF3 3JE,70,33.65%
CF3 3JF,67,58.77%
CF3 3JG,67,58.77%
CF3 3JH,67,58.77%
CF3 3JJ,1,0.88%
CF3 3JL,2,1.59%
CF3 3JN,1,0.88%
CF3 3JP,1,0.88%
CF3 3JQ,21,17.07%
CF3 3JR,2,1.59%
CF3 3JS,21,17.07%
CF3 3JT,21,17.07%
CF3 3JU,9,8.82%
CF3 3JW,48,42.11%
CF3 3JX,67,58.77%
CF3 3JY,9,8.82%
CF3 3JZ,9,8.82%
CF3 3LA,21,17.07%
CF3 3LB,21,17.07%
CF3 3LD,48,42.11%
CF3 3LE,2,1.59%
CF3 3LF,70,33.65%
CF3 3LG,48,42.11%
CF3 3LH,28,17.83%
CF3 3LJ,28,17.83%
CF3 3LN,1,0.88%
CF3 3LP,1,0.81%
CF3 3LQ,28,17.83%
CF3 3LR,28,17.83%
CF3 3LS,28,17.83%
CF3 3LT,28,17.83%
CF3 3LU,28,17.83%
CF3 3LW,28,17.83%
CF3 3LX,44,41.90%
CF3 3LY,44,41.90%
CF3 3LZ,44,41.90%
CF3 3NA,49,40.50%
CF3 3NB,49,40.50%
CF3 3ND,49,40.50%
CF3 3NE,52,41.27%
