Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 6AX,43,36.13%
CF3 6AW,43,36.13%
CF3 6AU,43,36.13%
CF3 6AT,43,36.13%
CF3 6AE,43,36.13%
CF3 6AB,43,36.13%
CF3 6AY,26,23.01%
CF3 6AH,26,23.01%
CF3 6AF,26,23.01%
CF3 6YX,14,10.37%
CF3 6YT,14,10.37%
CF3 6YS,14,10.37%
CF3 6YJ,14,10.37%
CF3 6BB,14,10.37%
CF3 6YW,14,10.22%
CF3 6YQ,14,10.22%
CF3 6YL,14,10.22%
CF3 6YG,14,10.22%
CF3 6BG,14,10.22%
CF3 6BF,14,10.22%
CF3 6BE,14,10.22%
CF3 6BD,14,10.22%
CF3 6BA,14,10.22%
CF3 6AJ,14,10.22%
CF3 6UY,12,9.92%
CF3 6HX,12,9.92%
CF3 6UZ,12,9.84%
CF3 6YY,11,8.15%
CF3 6YR,6,4.48%
CF3 6YP,6,4.48%
CF3 6YN,6,4.48%
CF3 6XD,5,3.57%
CF3 6AZ,5,3.57%
CF3 6XJ,5,3.55%
CF3 6XA,5,3.55%
CF3 6YA,2,1.63%
CF3 6WA,2,1.63%
CF3 6YF,1,0.83%
CF3 6XU,1,0.83%
CF3 6XT,1,0.83%
CF3 6US,1,0.83%
CF3 6AG,1,0.83%
CF3 6XF,1,0.82%
CF3 6YZ,1,0.81%
CF3 6XW,1,0.81%
CF3 6XS,1,0.81%
CF3 6XL,1,0.81%
CF3 6XG,1,0.81%
CF3 6XE,1,0.81%
CF3 6WQ,1,0.81%
CF3 6AS,1,0.78%
CF3 6AR,1,0.78%
CF3 6AQ,1,0.78%
CF3 6AP,1,0.78%
CF3 6AN,1,0.78%
CF3 6AL,1,0.78%
CF3 6XX,1,0.55%
CF3 6XR,1,0.55%
CF3 6LP,1,0.55%
CF3 6AA,1,0.55%
