Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 4HG,44,40.00%
CF3 4HL,44,40.00%
CF3 4HN,44,40.00%
CF3 4HP,44,40.00%
CF3 4HE,43,36.13%
CF3 4HH,43,36.13%
CF3 4HJ,43,36.13%
CF3 4HR,43,36.13%
CF3 4JB,43,36.13%
CF3 4JA,41,28.67%
CF3 4JD,41,28.67%
CF3 4JE,38,26.77%
CF3 4JF,38,26.77%
CF3 4JG,38,26.77%
CF3 4FD,34,24.46%
CF3 4HA,29,22.14%
CF3 4HB,29,22.14%
CF3 4HD,29,22.14%
CF3 4HF,29,22.14%
CF3 4FH,7,4.76%
CF3 4FG,1,0.81%
CF3 4FE,0,0.00%
CF3 4FF,0,0.00%
CF3 4FT,0,0.00%
CF3 4FU,0,0.00%
