Postcode,Social Housing Count,Social Housing %,Total Households
CF24 4QF,4,2.22%,180
CF24 4QE,4,2.22%,180
CF24 4QD,3,2.22%,135
CF24 4QB,3,2.22%,135
CF24 4QA,3,2.22%,135
CF24 4PZ,3,2.22%,135
CF24 4PY,3,2.22%,135
CF24 4PX,4,2.22%,180
CF24 4PW,3,2.22%,135
CF24 4PP,3,2.22%,135
CF24 4PJ,4,2.22%,180
CF24 4TX,2,1.77%,113
CF24 4TP,2,1.77%,113
CF24 4TN,2,1.77%,113
CF24 4SY,2,1.77%,113
CF24 4GB,2,1.77%,2
CF24 4QW,3,1.74%,172
CF24 4QQ,3,1.74%,172
CF24 4QJ,3,1.74%,172
CF24 4NZ,3,1.74%,172
CF24 4NX,3,1.74%,172
CF24 4NR,3,1.74%,172
CF24 4DL,2,1.37%,146
CF24 4BX,2,1.37%,146
CF24 4BW,2,1.37%,146
CF24 4BT,2,1.37%,146
CF24 4TW,1,0.82%,122
CF24 4TT,1,0.82%,122
CF24 4TR,1,0.82%,122
CF24 4TL,1,0.82%,122
CF24 4SP,1,0.82%,122
CF24 4SB,1,0.81%,123
CF24 4RY,1,0.81%,123
CF24 4RT,1,0.81%,123
CF24 4RS,1,0.81%,123
CF24 4GF,1,0.81%,0
CF24 4DH,1,0.79%,126
CF24 4BS,1,0.79%,126
CF24 4BL,1,0.79%,126
CF24 4BH,1,0.79%,126
CF24 4BD,1,0.79%,126
CF24 4TE,1,0.76%,131
CF24 4TD,1,0.76%,131
CF24 4TB,1,0.76%,131
CF24 4SX,1,0.76%,131
CF24 4SE,1,0.76%,131
CF24 4RZ,1,0.76%,131
CF24 4UB,1,0.73%,137
CF24 4UA,1,0.73%,137
CF24 4TZ,1,0.73%,137
CF24 4TU,1,0.73%,137
CF24 4GA,1,0.73%,1
CF24 4RA,1,0.62%,161
CF24 4QZ,1,0.62%,161
CF24 4QX,1,0.62%,161
CF24 4QT,1,0.62%,161
CF24 4QR,1,0.62%,161
CF24 4TQ,0,0.00%,100
CF24 4TJ,0,0.00%,100
CF24 4TA,0,0.00%,100
CF24 4SW,0,0.00%,100
CF24 4LY,0,0.00%,143
CF24 4LW,0,0.00%,143
CF24 4LT,0,0.00%,103
CF24 4LS,0,0.00%,103
CF24 4LP,0,0.00%,143
CF24 4LL,0,0.00%,143
CF24 4LH,0,0.00%,143
CF24 4JX,0,0.00%,143
CF24 4HL,0,0.00%,0
CF24 4HF,0,0.00%,0
