Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 2ZZ,58,52.73%
CF3 2PZ,58,52.73%
CF3 2PY,58,52.73%
CF3 2PX,58,52.73%
CF3 2PW,58,52.73%
CF3 2PU,58,52.73%
CF3 2GJ,58,52.73%
CF3 2GH,58,52.73%
CF3 2GA,58,52.73%
CF3 2EW,58,52.73%
CF3 2EU,58,52.73%
CF3 2ES,58,52.73%
CF3 2ER,58,52.73%
CF3 2EN,58,52.73%
CF3 2EJ,58,52.73%
CF3 2EF,58,52.73%
CF3 2EE,58,52.73%
CF3 2AG,58,52.73%
CF3 2ET,59,38.56%
CF3 2EQ,59,38.56%
CF3 2YF,34,24.82%
CF3 2XB,34,24.82%
CF3 2UL,34,24.82%
CF3 2UJ,34,24.82%
CF3 2TT,34,24.82%
CF3 2TL,34,24.82%
CF3 2TD,34,24.82%
CF3 2TA,34,24.82%
CF3 2HP,28,21.71%
CF3 2EY,28,21.71%
CF3 2EX,28,21.71%
CF3 2EP,28,21.71%
CF3 2EH,28,21.71%
CF3 2WF,26,18.18%
CF3 2UA,26,18.18%
CF3 2TZ,26,18.18%
CF3 2TX,26,18.18%
CF3 2TH,26,18.18%
CF3 2EZ,26,18.18%
CF3 2AZ,26,18.18%
CF3 2WL,22,16.92%
CF3 2UZ,22,16.92%
CF3 2AF,22,16.92%
CF3 2AB,22,16.92%
CF3 2AA,22,16.92%
CF3 2UG,13,5.80%
CF3 2UE,13,5.80%
CF3 2UD,13,5.80%
CF3 2UB,13,5.80%
CF3 2TY,13,5.80%
CF3 2TW,13,5.80%
CF3 2TJ,13,5.80%
CF3 2TG,13,5.80%
CF3 2SF,13,5.80%
CF3 2TS,5,2.76%
CF3 2TR,5,2.76%
CF3 2TQ,5,2.76%
CF3 2TP,5,2.76%
CF3 2TN,5,2.76%
CF3 2PR,3,2.36%
CF3 2NL,3,2.36%
CF3 2AX,3,2.36%
CF3 2AW,3,2.36%
CF3 2WB,2,1.49%
CF3 2US,2,1.49%
CF3 2UH,2,1.49%
CF3 2UF,2,1.49%
CF3 2TU,2,1.49%
CF3 2TF,2,1.49%
CF3 2TE,2,1.49%
CF3 2TB,2,1.49%
CF3 2AH,2,1.49%
CF3 2WJ,1,0.78%
CF3 2ED,1,0.78%
CF3 2AE,1,0.78%
CF3 2AD,1,0.78%
CF3 2XS,0,0.00%
CF3 2XR,0,0.00%
CF3 2WH,0,0.00%
CF3 2WE,0,0.00%
CF3 2WD,0,0.00%
CF3 2WA,0,0.00%
CF3 2UY,0,0.00%
CF3 2UX,0,0.00%
CF3 2UW,0,0.00%
CF3 2UU,0,0.00%
CF3 2UT,0,0.00%
CF3 2UR,0,0.00%
CF3 2UQ,0,0.00%
CF3 2UP,0,0.00%
CF3 2UN,0,0.00%
CF3 2SE,0,0.00%
CF3 2SD,0,0.00%
CF3 2SB,0,0.00%
CF3 2SA,0,0.00%
CF3 2PS,0,0.00%
CF3 2NN,0,0.00%
CF3 2NJ,0,0.00%
CF3 2NA,0,0.00%
CF3 2LG,0,0.00%
CF3 2LF,0,0.00%
CF3 2DY,0,0.00%
CF3 2AY,0,0.00%
CF3 2AJ,0,0.00%
